TIME,ARB
0,0
1.92308E-06,0.2149
3.84615E-06,-0.3973
5.76923E-06,0.4404
7.69231E-06,-0.4008
9.61538E-06,0.4082
1.15385E-05,-0.4295
1.34615E-05,0.4082
1.53846E-05,-0.4295
1.73077E-05,0.414
1.92308E-05,-0.4018
2.11538E-05,0.3867
2.30769E-05,-0.4295
0.000025,0.4032
2.69231E-05,-0.3865
2.88462E-05,0.3867
3.07692E-05,-0.3968
3.26923E-05,0.352
3.46154E-05,-0.4078
3.65385E-05,0.3652
3.84615E-05,-0.3597
4.03846E-05,0.3545
4.23077E-05,-0.3328
4.42308E-05,0.3385
4.61538E-05,-0.3534
4.80769E-05,0.3224
0.00005,-0.3643
5.19231E-05,0.3424
5.38462E-05,-0.3221
5.57692E-05,0.3223
5.76923E-05,-0.2899
5.96154E-05,0.2578
6.15385E-05,-0.2899
6.34615E-05,0.2041
6.53846E-05,-0.2202
6.73077E-05,0.2239
6.92308E-05,-0.1717
7.11538E-05,0.2285
7.30769E-05,-0.1645
0.000075,0.2578
7.69231E-05,-0.5
7.88462E-05,0.1827
8.07692E-05,0.2793
8.26923E-05,-0.3436
8.46154E-05,0.3652
8.65385E-05,-0.4295
8.84615E-05,0.4082
9.03846E-05,-0.3758
9.23077E-05,0.3437
9.42308E-05,-0.4197
9.61538E-05,0.4189
9.80769E-05,-0.3752
0.0001,0
0.000101923,0.2149
0.000103846,-0.3973
0.000105769,0.4404
0.000107692,-0.4008
0.000109615,0.4082
0.000111538,-0.4295
0.000113462,0.4082
0.000115385,-0.4295
0.000117308,0.414
0.000119231,-0.4018
0.000121154,0.3867
0.000123077,-0.4295
0.000125,0.4032
0.000126923,-0.3865
0.000128846,0.3867
0.000130769,-0.3968
0.000132692,0.352
0.000134615,-0.4078
0.000136538,0.3652
0.000138462,-0.3597
0.000140385,0.3545
0.000142308,-0.3328
0.000144231,0.3385
0.000146154,-0.3534
0.000148077,0.3224
0.00015,-0.3643
0.000151923,0.3424
0.000153846,-0.3221
0.000155769,0.3223
0.000157692,-0.2899
0.000159615,0.2578
0.000161538,-0.2899
0.000163462,0.2041
0.000165385,-0.2202
0.000167308,0.2239
0.000169231,-0.1717
0.000171154,0.2285
0.000173077,-0.1645
0.000175,0.2578
0.000176923,-0.5
0.000178846,0.1827
0.000180769,0.2793
0.000182692,-0.3436
0.000184615,0.3652
0.000186538,-0.4295
